km	long	lat	alt	name
104.068	131.10278	-13.16805	62.0	
104.119	131.10266	-13.16850	62.2	
104.145	131.10261	-13.16873	61.7	
104.474	131.10212	-13.17166	55.6	
104.578	131.10198	-13.17259	55.5	
104.710	131.10179	-13.17377	54.4	
104.737	131.10175	-13.17401	54.2	
104.791	131.10168	-13.17449	54.8	
104.817	131.10164	-13.17473	55.4	
104.844	131.10160	-13.17497	56.0	
104.871	131.10156	-13.17521	56.1	
104.924	131.10149	-13.17568	56.2	
105.379	131.10085	-13.17975	57.2	
105.699	131.10061	-13.18263	57.2	
105.996	131.10098	-13.18529	56.1	
106.544	131.10182	-13.19017	58.1	
106.983	131.10250	-13.19409	56.2	
107.322	131.10293	-13.19712	57.9	
107.667	131.10301	-13.20024	56.8	
108.037	131.10270	-13.20357	60.8	
108.367	131.10216	-13.20650	61.5	
108.868	131.10131	-13.21096	61.0	
109.275	131.10063	-13.21457	58.4	
109.776	131.09979	-13.21903	53.3	
110.066	131.09945	-13.22163	63.0	
110.313	131.09963	-13.22385	55.7	
110.661	131.10017	-13.22695	55.7	
111.116	131.10085	-13.23101	57.2	
111.358	131.10122	-13.23317	57.5	
111.651	131.10185	-13.23574	58.1	
111.802	131.10261	-13.23689	58.1	
111.918	131.10341	-13.23759	57.1	
112.411	131.10714	-13.24014	55.2	
112.715	131.10961	-13.24143	57.0	
112.725	131.10970	-13.24147	57.2	
112.738	131.10981	-13.24151	57.4	
112.755	131.10995	-13.24157	57.7	
112.835	131.11064	-13.24183	55.6	
112.985	131.11195	-13.24227	54.7	
113.074	131.11274	-13.24249	54.7	
113.097	131.11295	-13.24254	54.5	
113.120	131.11316	-13.24258	54.2	
113.405	131.11575	-13.24299	52.5	
113.858	131.11987	-13.24367	52.1	
114.143	131.12240	-13.24437	52.0	
114.441	131.12496	-13.24537	50.7	
114.579	131.12611	-13.24591	50.0	
115.032	131.12979	-13.24785	49.0	
115.541	131.13374	-13.25034	49.3	
116.123	131.13797	-13.25358	50.8	
116.626	131.14135	-13.25669	50.4	
117.382	131.14626	-13.26154	51.5	
117.485	131.14693	-13.26220	51.6	
118.190	131.15152	-13.26672	52.1	
118.894	131.15611	-13.27123	52.5	
119.066	131.15722	-13.27233	53.0	
119.747	131.16167	-13.27668	52.0	
120.123	131.16438	-13.27880	52.6	
120.531	131.16760	-13.28072	54.3	
120.907	131.17078	-13.28208	54.4	
121.351	131.17470	-13.28323	60.1	
121.973	131.18024	-13.28470	58.1	
122.198	131.18225	-13.28524	63.2	
122.441	131.18435	-13.28599	68.7	
122.658	131.18603	-13.28707	60.7	
122.927	131.18800	-13.28855	57.6	
123.037	131.18881	-13.28915	57.2	
123.784	131.19431	-13.29322	56.8	
124.345	131.19844	-13.29627	59.1	
124.382	131.19872	-13.29647	59.1	
124.606	131.20033	-13.29774	66.1	
124.793	131.20159	-13.29889	69.8	
124.942	131.20255	-13.29986	70.4	
124.980	131.20279	-13.30011	69.8	
125.393	131.20513	-13.30305	69.5	
125.768	131.20687	-13.30598	66.0	
125.843	131.20717	-13.30659	65.1	
